id,created_at,author_id,text
752613965729976321,2016-07-11T21:22:06.000Z,29432755,#MiloYiannopoulos banned - More About the Cowards at #DePaul University - Washington Times https://t.co/OdBa7fTZVw
752436565385719808,2016-07-11T09:37:11.000Z,234634464,"#theboltreport  #Milo #Yiannopoulos you speak total sense . 
Totally support your #DangerousFaggotTour &amp; all the very best."
752797112304369664,2016-07-12T09:29:52.000Z,272114850,"#Milo Yiannopoulos @Nero #Australia TV #interview. Discussed #Islam, #DonaldTrump, #LGBTQ... https://t.co/QbKWoxLGKV https://t.co/mLllfFmifd"
752686169469521922,2016-07-12T02:09:01.000Z,45230445,"Milo #Yiannopoulos is just a badly dressed version of #Trump, seen here on #skynews smelling each other's bullshit https://t.co/PIKbb6QLaS"
753708216425426945,2016-07-14T21:50:16.000Z,43598363,Uncensored thoughts. #Milo Yiannopoulos sits down with Sky News Australia. https://t.co/VfI1NSwND7
755182324040470528,2016-07-18T23:27:51.000Z,272114850,".@RiMartineau #Milo Yiannopoulos @Nero parle à #Cleveland du politiquement correct, de l'islam...#NiceAttentat #ISIS https://t.co/TfnIvobkXp"
755138915749822465,2016-07-18T20:35:21.000Z,272114850,"#RNCinCLE speech by #Milo Yiannopoulos @Nero, re. political correctness and Islam... #NiceAttack #OrlandoShooting https://t.co/TfnIvobkXp"
755547980145446912,2016-07-19T23:40:50.000Z,2911520575,"Leslie Jones's Twitter abuse is a deliberate campaign of hate, led by Milo Yiannopoulos #BanNero @support @jack
https://t.co/scBxSaVAwq"
755543178305044481,2016-07-19T23:21:45.000Z,2790763692,"Here is another. BTW he regularly writes ""news stories"" listing every living relative of women he dislikes. #BanMilo https://t.co/EEFLvbB8sA"
755542043728936960,2016-07-19T23:17:15.000Z,2790763692,Here's an article about the creep who lead neo-nazis to drive Leslie Jones off twitter with overt racism. #BanMilo https://t.co/cbc0I65deI
755535208720371714,2016-07-19T22:50:05.000Z,477018429,#Milo Yiannopoulos at #America First #Unity Rally #RNC (7/18/16) https://t.co/38YAj5I2CV
755486490852003840,2016-07-19T19:36:30.000Z,2896051760,Wow.  Hadn't done much reading on Milo Yiannopoulos before now.  Yup - #banmilo.  No question.  Get him the fuck off Twitter.
755475009540231168,2016-07-19T18:50:52.000Z,4427456724,"#suspendneroparty 

I WANNA SEE MATT HARDY DELETE NERO (Milo Yiannopoulos) FOREVER !!!!!!"
755458567411412992,2016-07-19T17:45:32.000Z,989943626,"It's great that #BanNero is trending, but we should make sure that Milo Yiannopoulos is publicly called out by name."
755437354253365248,2016-07-19T16:21:15.000Z,349409994,What's that? Milo Yiannopoulos is a disingenuous bully? It took us this long and two suspensions to figure this out? Shame on us. #BanNero
755341489992003585,2016-07-19T10:00:19.000Z,61202049,lol it's hard not to like #Milo lovely article https://t.co/AnuBIIOVOo @Nero
755275624403599360,2016-07-19T05:38:35.000Z,25097371,"Retweeted a woman online (@good_opinions):

milo yiannopoulos ringleads gamergate, a hate group, he deserves to be censored #BanNero"
755245333500878848,2016-07-19T03:38:13.000Z,1116725156,#BanNero because it gives me an excuse to remind everyone about this https://t.co/H1467CxgHJ
755915179573907456,2016-07-20T23:59:57.000Z,3219740900,Twitter Bans Milo Yiannopoulos #FreeMilo | Mike Cernovich and Stefan Mol... https://t.co/ErGrSNNRie
755914765260775425,2016-07-20T23:58:18.000Z,360723409,Milo Yiannopoulos Talks About His Twitter Ban on @RSBNetwork with @WayneDupreeShow https://t.co/KSYhIVBT4U #RNC2016 #gopconvention #freemilo
755914198048178176,2016-07-20T23:56:03.000Z,165710347,#FreeMilo Milo Yiannopoulos talks to CNBC about his Twitter Suspension https://t.co/mQcaANPmcM via @YouTube
755913240509546496,2016-07-20T23:52:15.000Z,14662354,Conservative commentator's Twitter ban reignites accusations of social media bias: https://t.co/DTdiHADOFl #MiloYiannopoulos
755912884841046017,2016-07-20T23:50:50.000Z,395611663,Twitter's censuur tegen islamcritici #FreeMilo Milo Yiannopoulos talks to CNBC about his Twitter Suspension https://t.co/5ZnaDVFfkA
755911039040970752,2016-07-20T23:43:30.000Z,4673902993,Twitter Bans Milo Yiannopoulos AKA @Nero.. Is It Against Free Speech? #FreeMilo  https://t.co/VIFRzXclpH https://t.co/yG2jg7c4cv
755910766692360193,2016-07-20T23:42:25.000Z,4017717778,Free Milo Yiannopoulos T-Shirt @Nero https://t.co/rwIpeHCyMJ   #FreeMilo #StopCensorship #Milo #Yiannopoulos #Tshirt https://t.co/yDqD51bigQ
755910579223683072,2016-07-20T23:41:40.000Z,2321885864,I liked a @YouTube video from @stefanmolyneux https://t.co/4pB7UKHIY1 Twitter Bans Milo Yiannopoulos #FreeMilo | Mike Cernovich and
755909701620097025,2016-07-20T23:38:11.000Z,65542076,I liked a @YouTube video https://t.co/N1LP8IXxaB #FreeMilo Milo Yiannopoulos talks to CNBC about his Twitter Suspension
755909087552872448,2016-07-20T23:35:45.000Z,52891701,"#FreeMilo #freemilo #Trump2016 
https://t.co/eNNy9RVwMo"
755909048281796609,2016-07-20T23:35:35.000Z,345001226,Twitter Bans Milo Yiannopoulos #FreeMilo | Mike Cernovich and Stefan Mol... https://t.co/p6VAQ0pYga via @YouTube
755908907181015040,2016-07-20T23:35:02.000Z,16073596,War! How Breitbart's Milo Yiannopoulos Reacted After He Was Banned on Twitter https://t.co/GNko6kDr0h #FreeMilo #auspol
755908190110306304,2016-07-20T23:32:11.000Z,21511099,"#Breitbart #editor alt-right hero, #Milo #(@nero) has been permanently suspended Twitter https://t.co/3F3SBc5wSd"
755907936669437953,2016-07-20T23:31:10.000Z,531972110,"The best breakdown of the whole Milo affair. 
https://t.co/cEmCm7Qnb6
#FreeMilo"
755907908924272640,2016-07-20T23:31:04.000Z,272114850,".@cali94612 I'm very #liberal, for tackling #guns &amp; #GlobalWarming, but gay #conservative #Milo Yiannopoulos is right about #Islam.#FreeMilo"
755907790464552966,2016-07-20T23:30:35.000Z,605019702,I liked a @YouTube video from @stefanmolyneux https://t.co/jC8huFryCZ Twitter Bans Milo Yiannopoulos #FreeMilo | Mike Cernovich and
755907765055295488,2016-07-20T23:30:29.000Z,8057892,"Hey, Milo made the NYT. #freeMilo #fromhimself #byeMilo #byefelicia #hashtags #PokemonGO #gopconvention https://t.co/5yZIu1ET1f"
755907066062053376,2016-07-20T23:27:43.000Z,25770408,"""There is a systemic campaign against conservative and libertarian points of view on Twitter."" Milo Yiannopoulos #freeMilo #dk"
755905757489561600,2016-07-20T23:22:31.000Z,30667746,Twitter banning Milo Yiannopoulos makes me want to follow him even more. #freemilo
755904576180592644,2016-07-20T23:17:49.000Z,40452640,I liked a @YouTube video from @stefanmolyneux https://t.co/wjr7g3DMcN Twitter Bans Milo Yiannopoulos #FreeMilo | Mike Cernovich and
755903909588299776,2016-07-20T23:15:10.000Z,1372786812,"Milo  Vows to Make Twitter Bosses 'Wish They'd Never Started a Company' After Lifetime Ban
#FreeSpeechForMillo  https://t.co/0Sn8xCtnXP"
755903186670583809,2016-07-20T23:12:18.000Z,3228832457,I liked a @YouTube video https://t.co/NzWulnTjul #FreeMilo Milo Yiannopoulos talks to CNBC about his Twitter Suspension
755903121071702016,2016-07-20T23:12:02.000Z,28292198,I liked a @YouTube video https://t.co/NcS73BBoGg #FreeMilo Milo Yiannopoulos talks to CNBC about his Twitter Suspension
755903097105485824,2016-07-20T23:11:57.000Z,146608835,I liked a @YouTube video https://t.co/y8yogVjXl1 #FreeMilo Milo Yiannopoulos talks to CNBC about his Twitter Suspension
755902498347552768,2016-07-20T23:09:34.000Z,2200860884,#SocialLeaf #SEO #SMO #FreeMilo prompts free speech debate after Twitter ban on conservative pundit https://t.co/IaWs3U5C8N
755902262703190016,2016-07-20T23:08:38.000Z,37878292,Consider myself left of center. Banning of Milo Yiannopoulos  by @twitter @Support (and apparent suppression of #freemilo) is unacceptable.
755902258181791744,2016-07-20T23:08:36.000Z,18229950,Twitter Permanently Suspends Conservative Writer Milo Yiannopoulos https://t.co/lq0bjwB2iB What's evidence #freeMilo orchestrated hate?@aclu
755902247431761920,2016-07-20T23:08:34.000Z,2411290603,#FreeMilo El periodista anti-feminista Milo Yiannopoulos fué suspendido permanentemente de Twitter https://t.co/6v6VExOnLz  @VaronesUnidos
755902158680182784,2016-07-20T23:08:13.000Z,15174926,"Your 15 mins are up!  #Milo Yiannopoulos declares war on #Twitter after ban: 'I’m going to make their lives hell'
https://t.co/HIzm2YoVmb"
755901258960035840,2016-07-20T23:04:38.000Z,40735331,"Twitter Bans Milo Yiannopoulos, Initiates Major Internet Fee Speech War #FreeMilo https://t.co/TculHlLGGI"
755900373701828608,2016-07-20T23:01:07.000Z,4096149189,#FreeMilo Milo Yiannopoulos talks to CNBC about his Twitter Suspension https://t.co/Jvq5en4jXH via @YouTube
755900292248449024,2016-07-20T23:00:48.000Z,1260153174,"#FreeMilo. The Scapegoat of @Jack's speech police. Milo didn't engage till far after her ""bullying"" started.

https://t.co/U7OCVk8Sdm"
755900214653947905,2016-07-20T23:00:29.000Z,443719711,"Milo Yiannopoulos declares war on Twitter after lifetime ban: 'I’m going to make their lives hell'

https://t.co/JDaEdyROQf

#FREEMILO"
755899993483988994,2016-07-20T22:59:37.000Z,716177256586948608,"Twitter bans Milo Yiannopoulos for calling an actress ""barely literate"". So much for being a platform for free speach. #freemilo"
755898718721892352,2016-07-20T22:54:33.000Z,734440531212673024,"BreitbartNews: FYI, ICYMI, and AYFKM, the ""pros"" in the news are lying about Milo &amp; Leslie Jones: https://t.co/C265x3L1Wp #FreeMilo"
755898361488740352,2016-07-20T22:53:07.000Z,457984599,"FYI, ICYMI, and AYFKM, the ""pros"" in the news are lying about Milo &amp; Leslie Jones: https://t.co/d7PUnZPO51 #FreeMilo"
755897920184995840,2016-07-20T22:51:22.000Z,8332612,#FreeMilo Milo Yiannopoulos talks to CNBC about his Twitter Suspension https://t.co/Q9NKcMjYzC via @YouTube
