,Date,# Tweets
0,-30,5
1,-29,1
2,-28,1
3,-27,2
4,-26,3
5,-25,5
6,-24,1
7,-23,3
8,-22,4
9,-18,1
10,-14,1
11,-13,2
12,-12,1
13,-9,3
14,-8,2
15,-7,2
16,-5,1
17,-1,2
18,0,11
19,1,94
20,2,95
21,3,95
